,Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,datetime,month
0,10/03/2004,18,"2,6",1360.0,"11,9",1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,2004-03-10,March
1,10/03/2004,19,2,1292.0,"9,4",955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,2004-03-10,March
2,10/03/2004,20,"2,2",1402.0,"9,0",939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,2004-03-10,March
3,10/03/2004,21,"2,2",1376.0,"9,2",948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,2004-03-10,March
4,10/03/2004,22,"1,6",1272.0,"6,5",836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,2004-03-10,March
5,10/03/2004,23,"1,2",1197.0,"4,7",750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,2004-03-10,March
6,11/03/2004,0,"1,2",1185.0,"3,6",690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,2004-03-11,March
7,11/03/2004,1,1,1136.0,"3,3",672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,2004-03-11,March
8,11/03/2004,2,"0,9",1094.0,"2,3",609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,2004-03-11,March
10,11/03/2004,4,-200,1011.0,"1,3",527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,2004-03-11,March
11,11/03/2004,5,"0,7",1066.0,"1,1",512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,2004-03-11,March
12,11/03/2004,6,"0,7",1052.0,"1,6",553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,2004-03-11,March
13,11/03/2004,7,"1,1",1144.0,"3,2",667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,2004-03-11,March
14,11/03/2004,8,2,1333.0,"8,0",900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,2004-03-11,March
