,T,RH,AH,Value,Type
0,13.6,48.9,0.7578,1360.0,Tin Oxide
1,13.3,47.7,0.7255,1292.0,Tin Oxide
2,11.9,54.0,0.7502,1402.0,Tin Oxide
3,11.0,60.0,0.7867,1376.0,Tin Oxide
4,11.2,59.6,0.7888,1272.0,Tin Oxide
5,11.2,59.2,0.7848,1197.0,Tin Oxide
6,11.3,56.8,0.7603,1185.0,Tin Oxide
7,10.7,60.0,0.7702,1136.0,Tin Oxide
8,10.7,59.7,0.7648,1094.0,Tin Oxide
10,10.1,60.5,0.7465,1011.0,Tin Oxide
11,11.0,56.2,0.7366,1066.0,Tin Oxide
12,10.5,58.1,0.7353,1052.0,Tin Oxide
13,10.2,59.6,0.7417,1144.0,Tin Oxide
14,10.8,57.4,0.7408,1333.0,Tin Oxide
15,10.5,60.6,0.7691,1351.0,Tin Oxide
16,10.8,58.4,0.7552,1233.0,Tin Oxide
17,10.5,57.9,0.7352,1179.0,Tin Oxide
18,9.5,66.8,0.7951,1236.0,Tin Oxide
19,8.3,76.4,0.8393,1286.0,Tin Oxide
20,8.0,81.1,0.8736,1371.0,Tin Oxide
21,8.3,79.8,0.8778,1310.0,Tin Oxide
22,9.7,71.2,0.8569,1292.0,Tin Oxide
23,9.8,67.6,0.8185,1383.0,Tin Oxide
24,10.3,64.2,0.8065,1581.0,Tin Oxide
25,9.7,69.3,0.8319,1776.0,Tin Oxide
26,9.6,67.8,0.8133,1640.0,Tin Oxide
27,9.1,64.0,0.7419,1313.0,Tin Oxide
28,8.2,63.4,0.6905,965.0,Tin Oxide
29,8.2,60.8,0.6657,913.0,Tin Oxide
30,8.3,58.5,0.6438,1080.0,Tin Oxide
31,7.7,59.7,0.6308,1044.0,Tin Oxide
32,7.1,61.8,0.6276,988.0,Tin Oxide
34,6.1,65.9,0.6248,831.0,Tin Oxide
35,6.3,65.0,0.6233,847.0,Tin Oxide
36,6.8,62.9,0.6234,927.0,Tin Oxide
37,6.4,65.1,0.6316,1091.0,Tin Oxide
38,7.3,63.1,0.6499,1587.0,Tin Oxide
40,13.2,41.7,0.632,1350.0,Tin Oxide
41,14.3,38.4,0.6243,1263.0,Tin Oxide
42,15.0,36.5,0.6195,1206.0,Tin Oxide
43,16.1,34.5,0.6262,1252.0,Tin Oxide
44,16.3,35.7,0.656,1287.0,Tin Oxide
45,15.8,37.0,0.661,1353.0,Tin Oxide
46,15.9,37.2,0.6657,1309.0,Tin Oxide
47,16.9,34.3,0.6549,1274.0,Tin Oxide
48,15.1,39.6,0.6766,1510.0,Tin Oxide
49,14.4,43.4,0.7084,1525.0,Tin Oxide
50,12.9,50.5,0.7478,1843.0,Tin Oxide
51,12.1,53.3,0.7536,1598.0,Tin Oxide
52,11.0,59.1,0.774,1484.0,Tin Oxide
53,9.7,64.6,0.7771,1677.0,Tin Oxide
54,9.5,64.1,0.7597,1280.0,Tin Oxide
55,9.1,63.9,0.7423,1196.0,Tin Oxide
56,8.8,63.9,0.7256,1184.0,Tin Oxide
58,7.0,71.1,0.7158,1147.0,Tin Oxide
59,8.3,63.6,0.6982,978.0,Tin Oxide
60,7.2,67.5,0.6887,1100.0,Tin Oxide
61,6.3,71.9,0.6932,1112.0,Tin Oxide
62,6.5,71.6,0.6945,1336.0,Tin Oxide
63,9.6,59.7,0.7124,1408.0,Tin Oxide
64,12.4,51.2,0.7335,1447.0,Tin Oxide
65,15.6,42.2,0.7451,1542.0,Tin Oxide
66,18.4,33.8,0.709,1451.0,Tin Oxide
67,19.4,31.3,0.695,1328.0,Tin Oxide
68,18.0,34.8,0.7127,1207.0,Tin Oxide
69,18.4,33.6,0.7042,1240.0,Tin Oxide
70,17.6,35.1,0.7012,1306.0,Tin Oxide
71,16.7,37.8,0.7117,1326.0,Tin Oxide
72,16.1,41.0,0.7451,1473.0,Tin Oxide
73,15.8,42.4,0.7569,1609.0,Tin Oxide
74,15.7,44.1,0.7786,1611.0,Tin Oxide
75,15.3,46.8,0.8091,1621.0,Tin Oxide
76,14.6,48.6,0.806,1444.0,Tin Oxide
77,14.7,49.3,0.8193,1418.0,Tin Oxide
78,13.9,53.6,0.8498,1534.0,Tin Oxide
79,14.6,51.5,0.8536,1484.0,Tin Oxide
80,12.5,58.9,0.8537,1367.0,Tin Oxide
82,12.1,61.1,0.8603,1130.0,Tin Oxide
83,11.5,63.1,0.8533,1062.0,Tin Oxide
84,11.6,62.2,0.8473,1076.0,Tin Oxide
85,10.4,67.6,0.853,1028.0,Tin Oxide
86,11.6,62.7,0.853,1155.0,Tin Oxide
87,12.4,60.0,0.8627,1235.0,Tin Oxide
88,14.5,53.1,0.8728,1332.0,Tin Oxide
89,16.9,46.1,0.8789,1445.0,Tin Oxide
90,19.3,38.3,0.8474,1416.0,Tin Oxide
91,21.2,31.4,0.7812,1281.0,Tin Oxide
92,21.4,30.2,0.7616,1207.0,Tin Oxide
93,21.9,29.0,0.7525,1258.0,Tin Oxide
94,22.2,28.4,0.7516,1458.0,Tin Oxide
95,21.3,30.8,0.7696,1438.0,Tin Oxide
96,19.7,36.7,0.8307,1478.0,Tin Oxide
97,18.4,41.7,0.8732,1808.0,Tin Oxide
98,17.6,46.1,0.921,1898.0,Tin Oxide
99,16.7,49.6,0.932,1560.0,Tin Oxide
100,16.3,51.0,0.9341,1324.0,Tin Oxide
101,14.7,55.9,0.9314,1349.0,Tin Oxide
102,14.8,54.7,0.9164,1239.0,Tin Oxide
103,14.0,57.0,0.9094,1239.0,Tin Oxide
104,13.4,61.3,0.9361,1224.0,Tin Oxide
106,12.3,65.4,0.9351,1078.0,Tin Oxide
107,11.9,67.4,0.9375,1075.0,Tin Oxide
108,11.4,70.5,0.9475,1157.0,Tin Oxide
109,11.3,70.2,0.9401,1314.0,Tin Oxide
110,12.4,63.9,0.917,1797.0,Tin Oxide
111,14.8,54.3,0.9076,1961.0,Tin Oxide
112,17.4,45.6,0.8993,1771.0,Tin Oxide
113,19.8,38.5,0.8801,1564.0,Tin Oxide
114,22.0,34.1,0.8904,1430.0,Tin Oxide
