,Date,CO(GT),C6H6(GT),NO2(GT)
0,10/03/2004,2.6,11.9,113.0
1,10/03/2004,2.0,9.4,92.0
2,10/03/2004,2.2,9.0,114.0
3,10/03/2004,2.2,9.2,122.0
4,10/03/2004,1.6,6.5,116.0
5,10/03/2004,1.2,4.7,96.0
6,11/03/2004,1.2,3.6,77.0
7,11/03/2004,1.0,3.3,76.0
8,11/03/2004,0.9,2.3,60.0
9,11/03/2004,0.6,1.7,
10,11/03/2004,,1.3,34.0
11,11/03/2004,0.7,1.1,28.0
12,11/03/2004,0.7,1.6,48.0
13,11/03/2004,1.1,3.2,82.0
14,11/03/2004,2.0,8.0,112.0
15,11/03/2004,2.2,9.5,101.0
16,11/03/2004,1.7,6.3,98.0
17,11/03/2004,1.5,5.0,92.0
18,11/03/2004,1.6,5.2,95.0
19,11/03/2004,1.9,7.3,112.0
20,11/03/2004,2.9,11.5,128.0
21,11/03/2004,2.2,8.8,126.0
22,11/03/2004,2.2,8.3,131.0
23,11/03/2004,2.9,11.2,135.0
24,11/03/2004,4.8,20.8,151.0
25,11/03/2004,6.9,27.4,172.0
26,11/03/2004,6.1,24.0,165.0
27,11/03/2004,3.9,12.8,136.0
28,11/03/2004,1.5,4.7,85.0
29,11/03/2004,1.0,2.6,53.0
30,12/03/2004,1.7,5.9,97.0
31,12/03/2004,1.9,6.4,110.0
32,12/03/2004,1.4,4.1,91.0
33,12/03/2004,0.8,1.9,
34,12/03/2004,,1.1,32.0
35,12/03/2004,0.6,1.0,44.0
36,12/03/2004,0.8,1.8,71.0
37,12/03/2004,1.4,4.4,104.0
38,12/03/2004,4.4,17.9,141.0
39,12/03/2004,,22.1,
40,12/03/2004,3.1,14.0,122.0
41,12/03/2004,2.7,11.6,143.0
42,12/03/2004,2.1,10.2,113.0
43,12/03/2004,2.5,11.0,116.0
44,12/03/2004,2.7,12.8,123.0
45,12/03/2004,2.9,14.2,126.0
46,12/03/2004,2.8,12.7,120.0
47,12/03/2004,2.4,11.7,119.0
48,12/03/2004,3.9,19.3,149.0
49,12/03/2004,3.7,18.2,145.0
50,12/03/2004,6.6,32.6,170.0
51,12/03/2004,4.4,20.1,149.0
52,12/03/2004,3.5,14.3,139.0
53,12/03/2004,5.4,21.8,134.0
54,13/03/2004,2.7,9.6,113.0
55,13/03/2004,1.9,7.4,97.0
56,13/03/2004,1.6,5.4,82.0
57,13/03/2004,1.7,5.4,
58,13/03/2004,,6.2,83.0
59,13/03/2004,1.0,2.6,65.0
60,13/03/2004,1.2,2.9,60.0
61,13/03/2004,1.5,5.1,77.0
62,13/03/2004,2.7,11.8,96.0
63,13/03/2004,3.7,15.1,119.0
64,13/03/2004,3.2,12.9,126.0
65,13/03/2004,4.1,16.1,158.0
66,13/03/2004,3.6,14.0,161.0
67,13/03/2004,2.8,12.3,124.0
68,13/03/2004,2.0,8.6,102.0
69,13/03/2004,2.0,9.2,116.0
70,13/03/2004,2.5,10.2,124.0
71,13/03/2004,2.3,10.6,125.0
72,13/03/2004,3.2,15.5,148.0
73,13/03/2004,4.2,19.6,165.0
74,13/03/2004,4.2,19.2,161.0
75,13/03/2004,4.2,18.3,159.0
76,13/03/2004,3.1,13.1,143.0
77,13/03/2004,2.6,10.9,130.0
78,14/03/2004,2.9,11.0,129.0
79,14/03/2004,2.8,11.9,119.0
80,14/03/2004,2.5,8.6,104.0
81,14/03/2004,2.4,9.7,
82,14/03/2004,,5.2,82.0
83,14/03/2004,1.2,3.7,70.0
84,14/03/2004,1.0,2.5,63.0
85,14/03/2004,0.9,2.4,67.0
86,14/03/2004,1.4,4.2,84.0
87,14/03/2004,1.6,6.4,83.0
88,14/03/2004,2.2,8.6,98.0
89,14/03/2004,2.8,10.9,114.0
90,14/03/2004,2.8,10.7,119.0
91,14/03/2004,2.0,7.5,104.0
92,14/03/2004,1.8,7.5,102.0
93,14/03/2004,1.9,8.2,107.0
94,14/03/2004,3.0,11.9,129.0
95,14/03/2004,2.9,12.0,128.0
96,14/03/2004,2.5,12.2,121.0
97,14/03/2004,4.6,20.6,157.0
98,14/03/2004,5.9,23.1,173.0
99,14/03/2004,3.4,14.7,146.0
100,14/03/2004,2.1,9.0,121.0
101,14/03/2004,2.2,8.8,119.0
102,15/03/2004,1.8,7.4,99.0
103,15/03/2004,1.8,6.9,93.0
104,15/03/2004,1.8,7.0,88.0
105,15/03/2004,1.1,4.4,
106,15/03/2004,,4.0,71.0
107,15/03/2004,1.0,3.9,74.0
108,15/03/2004,1.4,6.4,80.0
109,15/03/2004,2.2,9.7,89.0
110,15/03/2004,5.5,25.9,114.0
111,15/03/2004,8.1,36.7,149.0
112,15/03/2004,5.8,26.6,157.0
113,15/03/2004,4.2,20.1,155.0
114,15/03/2004,3.1,14.1,134.0
115,15/03/2004,2.9,14.9,119.0
116,15/03/2004,2.9,15.4,111.0
117,15/03/2004,2.5,12.1,104.0
118,15/03/2004,2.3,11.5,99.0
119,15/03/2004,2.8,14.8,110.0
120,15/03/2004,6.1,32.1,162.0
121,15/03/2004,8.0,39.2,187.0
122,15/03/2004,6.5,31.0,165.0
123,15/03/2004,4.2,19.9,145.0
124,15/03/2004,3.2,15.3,125.0
125,15/03/2004,1.4,6.9,101.0
126,16/03/2004,2.1,11.1,103.0
127,16/03/2004,1.2,5.4,88.0
128,16/03/2004,0.8,2.8,61.0
129,16/03/2004,0.7,2.3,
130,16/03/2004,,2.6,59.0
131,16/03/2004,0.6,2.0,52.0
132,16/03/2004,0.9,3.5,64.0
133,16/03/2004,1.3,5.1,70.0
134,16/03/2004,3.4,16.2,97.0
135,16/03/2004,3.7,19.7,95.0
136,16/03/2004,5.3,25.1,150.0
137,16/03/2004,4.1,20.0,162.0
138,16/03/2004,3.3,18.3,154.0
139,16/03/2004,4.0,22.3,161.0
140,16/03/2004,3.8,20.4,161.0
141,16/03/2004,2.8,14.6,128.0
142,16/03/2004,2.9,16.6,129.0
143,16/03/2004,2.9,15.8,133.0
144,16/03/2004,3.4,17.8,139.0
145,16/03/2004,3.9,19.1,137.0
146,16/03/2004,3.2,15.8,143.0
147,16/03/2004,5.1,24.9,177.0
148,16/03/2004,2.6,13.5,138.0
149,16/03/2004,1.7,9.1,117.0
150,17/03/2004,1.7,8.6,107.0
151,17/03/2004,1.2,5.4,90.0
152,17/03/2004,0.9,4.1,79.0
153,17/03/2004,0.7,2.6,
154,17/03/2004,,1.9,60.0
155,17/03/2004,0.5,1.6,40.0
156,17/03/2004,0.5,1.9,53.0
157,17/03/2004,1.6,7.5,84.0
158,17/03/2004,4.1,21.4,108.0
159,17/03/2004,6.6,36.4,127.0
160,17/03/2004,4.3,21.3,134.0
161,17/03/2004,2.9,15.4,135.0
162,17/03/2004,2.5,12.5,142.0
163,17/03/2004,2.8,15.1,153.0
164,17/03/2004,2.6,13.7,123.0
165,17/03/2004,2.0,10.4,104.0
166,17/03/2004,2.9,15.2,129.0
167,17/03/2004,2.5,12.3,114.0
168,17/03/2004,5.0,27.0,158.0
169,17/03/2004,7.6,38.4,194.0
170,17/03/2004,6.7,35.1,182.0
171,17/03/2004,5.7,27.2,180.0
172,17/03/2004,2.8,15.0,136.0
173,17/03/2004,2.6,15.7,127.0
174,18/03/2004,2.3,13.0,116.0
175,18/03/2004,1.4,8.1,107.0
176,18/03/2004,1.0,5.5,88.0
177,18/03/2004,0.7,3.6,
178,18/03/2004,,2.9,78.0
179,18/03/2004,0.6,2.5,57.0
180,18/03/2004,0.7,3.0,71.0
181,18/03/2004,1.5,7.7,85.0
182,18/03/2004,4.7,23.3,124.0
183,18/03/2004,6.6,35.8,151.0
184,18/03/2004,4.5,21.3,150.0
185,18/03/2004,2.8,14.3,152.0
186,18/03/2004,2.2,12.5,139.0
187,18/03/2004,2.2,12.2,133.0
188,18/03/2004,2.3,13.1,126.0
189,18/03/2004,2.2,14.4,128.0
190,18/03/2004,2.8,16.8,169.0
191,18/03/2004,2.7,14.5,149.0
192,18/03/2004,3.7,21.5,156.0
193,18/03/2004,5.1,26.4,168.0
194,18/03/2004,5.1,26.0,176.0
195,18/03/2004,3.2,14.1,135.0
196,18/03/2004,2.1,10.3,121.0
197,18/03/2004,1.7,8.3,99.0
198,19/03/2004,2.0,8.9,106.0
199,19/03/2004,1.6,6.6,96.0
200,19/03/2004,0.9,3.6,63.0
201,19/03/2004,0.7,2.5,
202,19/03/2004,,1.8,32.0
203,19/03/2004,0.5,1.3,28.0
204,19/03/2004,0.7,2.3,61.0
205,19/03/2004,1.5,6.7,99.0
206,19/03/2004,4.8,22.8,157.0
207,19/03/2004,6.2,31.3,166.0
208,19/03/2004,4.0,19.2,149.0
209,19/03/2004,3.3,16.4,135.0
210,19/03/2004,2.8,14.0,127.0
211,19/03/2004,3.0,15.3,122.0
212,19/03/2004,3.3,16.7,135.0
213,19/03/2004,3.5,19.0,139.0
214,19/03/2004,4.0,19.4,147.0
215,19/03/2004,4.6,20.9,158.0
216,19/03/2004,4.1,20.2,146.0
217,19/03/2004,4.5,21.7,144.0
218,19/03/2004,3.9,19.8,138.0
219,19/03/2004,4.0,16.7,143.0
220,19/03/2004,2.2,9.1,116.0
221,19/03/2004,2.1,8.3,109.0
222,20/03/2004,1.7,5.8,92.0
223,20/03/2004,1.6,5.2,83.0
224,20/03/2004,1.3,4.1,81.0
225,20/03/2004,1.3,3.4,
226,20/03/2004,,2.9,55.0
227,20/03/2004,0.8,3.1,53.0
228,20/03/2004,0.8,2.5,67.0
229,20/03/2004,1.1,4.3,91.0
230,20/03/2004,2.1,8.9,113.0
231,20/03/2004,2.4,10.5,102.0
232,20/03/2004,2.6,12.5,107.0
233,20/03/2004,2.8,12.3,113.0
234,20/03/2004,2.6,11.7,108.0
235,20/03/2004,2.6,11.7,105.0
236,20/03/2004,2.1,9.3,93.0
237,20/03/2004,1.7,7.6,87.0
238,20/03/2004,1.6,6.7,76.0
239,20/03/2004,2.1,9.7,94.0
240,20/03/2004,2.3,12.4,110.0
241,20/03/2004,3.5,16.6,136.0
242,20/03/2004,3.9,16.4,139.0
243,20/03/2004,3.3,13.7,125.0
244,20/03/2004,2.3,9.9,111.0
245,20/03/2004,2.1,8.9,97.0
246,21/03/2004,2.8,10.6,107.0
247,21/03/2004,2.1,7.4,90.0
248,21/03/2004,1.6,6.2,84.0
249,21/03/2004,1.6,6.5,
250,21/03/2004,,5.8,87.0
251,21/03/2004,1.1,4.0,66.0
252,21/03/2004,0.7,2.1,36.0
253,21/03/2004,0.8,3.6,62.0
254,21/03/2004,1.2,4.4,91.0
255,21/03/2004,1.4,5.4,89.0
256,21/03/2004,1.7,7.1,93.0
257,21/03/2004,1.8,7.3,81.0
258,21/03/2004,1.8,7.6,82.0
259,21/03/2004,1.9,6.8,80.0
260,21/03/2004,1.3,4.6,48.0
261,21/03/2004,1.6,8.4,61.0
262,21/03/2004,1.9,6.9,89.0
263,21/03/2004,2.3,9.0,105.0
264,21/03/2004,3.8,15.1,116.0
265,21/03/2004,3.5,12.6,119.0
266,21/03/2004,4.3,15.1,144.0
267,21/03/2004,2.8,9.9,123.0
268,21/03/2004,1.9,8.0,105.0
269,21/03/2004,1.9,7.9,93.0
270,22/03/2004,1.7,6.1,86.0
271,22/03/2004,1.5,5.1,76.0
272,22/03/2004,0.6,1.7,33.0
273,22/03/2004,0.4,0.7,
274,22/03/2004,,0.8,27.0
275,22/03/2004,0.3,0.7,23.0
276,22/03/2004,0.6,2.0,46.0
277,22/03/2004,1.2,5.1,76.0
278,22/03/2004,3.6,17.7,116.0
279,22/03/2004,3.7,18.4,115.0
280,22/03/2004,1.8,6.9,83.0
281,22/03/2004,1.6,7.3,87.0
282,22/03/2004,1.9,9.6,90.0
283,22/03/2004,2.0,10.4,87.0
284,22/03/2004,2.2,11.2,99.0
285,22/03/2004,2.1,10.7,99.0
286,22/03/2004,2.3,11.6,101.0
287,22/03/2004,2.6,12.4,103.0
288,22/03/2004,3.8,18.3,129.0
289,22/03/2004,4.4,21.0,143.0
290,22/03/2004,4.5,21.0,146.0
291,22/03/2004,3.3,14.5,124.0
292,22/03/2004,2.0,8.4,113.0
293,22/03/2004,1.1,4.3,80.0
294,23/03/2004,0.9,3.8,72.0
295,23/03/2004,0.8,2.7,64.0
296,23/03/2004,0.7,2.5,70.0
297,23/03/2004,0.5,1.2,
298,23/03/2004,,0.8,31.0
299,23/03/2004,0.3,0.6,22.0
300,23/03/2004,0.5,1.8,47.0
301,23/03/2004,1.1,4.6,88.0
302,23/03/2004,3.0,14.2,130.0
303,23/03/2004,3.8,21.0,132.0
304,23/03/2004,3.4,16.2,132.0
305,23/03/2004,3.0,15.5,131.0
306,23/03/2004,2.7,13.4,129.0
307,23/03/2004,3.5,16.9,132.0
308,23/03/2004,2.8,12.4,110.0
309,23/03/2004,1.9,10.1,99.0
310,23/03/2004,2.0,8.7,100.0
311,23/03/2004,3.0,13.8,122.0
312,23/03/2004,1.9,9.3,97.0
313,23/03/2004,2.7,13.0,112.0
314,23/03/2004,3.3,14.3,128.0
315,23/03/2004,1.7,7.6,101.0
316,23/03/2004,1.3,5.3,96.0
317,23/03/2004,1.3,5.4,86.0
318,24/03/2004,1.2,4.9,85.0
319,24/03/2004,1.1,4.6,79.0
320,24/03/2004,0.9,2.7,61.0
321,24/03/2004,0.6,1.6,
322,24/03/2004,,1.7,66.0
323,24/03/2004,0.6,1.2,54.0
324,24/03/2004,0.8,1.7,57.0
325,24/03/2004,1.2,4.8,75.0
326,24/03/2004,3.1,13.8,97.0
327,24/03/2004,4.4,23.7,110.0
328,24/03/2004,3.4,14.2,113.0
329,24/03/2004,1.7,8.0,88.0
330,24/03/2004,1.5,6.7,85.0
331,24/03/2004,1.7,8.7,96.0
332,24/03/2004,2.2,10.8,106.0
333,24/03/2004,,6.7,91.0
334,24/03/2004,2.7,11.4,126.0
335,24/03/2004,2.8,13.4,130.0
336,24/03/2004,2.7,12.0,111.0
337,24/03/2004,4.5,20.2,134.0
338,24/03/2004,3.5,14.4,136.0
339,24/03/2004,2.6,9.4,125.0
340,24/03/2004,1.7,5.9,108.0
341,24/03/2004,1.3,4.5,87.0
342,25/03/2004,1.3,4.5,89.0
343,25/03/2004,1.0,2.5,58.0
344,25/03/2004,0.7,1.8,54.0
345,25/03/2004,0.7,1.4,
346,25/03/2004,0.5,0.9,28.0
347,25/03/2004,0.5,0.6,20.0
348,25/03/2004,0.6,1.4,51.0
349,25/03/2004,1.1,3.8,82.0
350,25/03/2004,2.7,11.6,112.0
351,25/03/2004,3.5,17.8,119.0
352,25/03/2004,2.3,8.8,99.0
353,25/03/2004,1.6,6.8,98.0
354,25/03/2004,1.3,5.9,88.0
355,25/03/2004,2.0,8.9,96.0
356,25/03/2004,1.9,8.2,81.0
357,25/03/2004,1.9,8.6,92.0
358,25/03/2004,2.2,10.1,105.0
359,25/03/2004,2.0,9.4,88.0
360,25/03/2004,2.9,14.6,103.0
361,25/03/2004,5.2,24.6,141.0
362,25/03/2004,4.6,21.6,133.0
363,25/03/2004,2.5,10.3,119.0
364,25/03/2004,1.5,5.7,106.0
365,25/03/2004,1.2,4.5,92.0
366,26/03/2004,1.7,5.5,97.0
367,26/03/2004,1.4,4.8,91.0
368,26/03/2004,1.2,3.6,83.0
369,26/03/2004,0.6,1.7,
370,26/03/2004,0.7,2.2,59.0
371,26/03/2004,0.8,3.0,73.0
372,26/03/2004,0.9,4.0,78.0
373,26/03/2004,1.6,6.7,90.0
374,26/03/2004,3.4,16.7,110.0
375,26/03/2004,3.8,19.3,114.0
376,26/03/2004,3.1,14.8,119.0
377,26/03/2004,2.7,13.4,121.0
378,26/03/2004,2.0,11.0,97.0
379,26/03/2004,2.3,12.5,99.0
380,26/03/2004,1.9,8.4,85.0
381,26/03/2004,1.3,5.3,75.0
382,26/03/2004,1.9,8.8,87.0
383,26/03/2004,2.3,11.2,102.0
384,26/03/2004,2.4,11.6,105.0
385,26/03/2004,2.7,12.4,98.0
386,26/03/2004,2.6,10.6,93.0
387,26/03/2004,1.5,6.0,91.0
388,26/03/2004,1.2,4.6,85.0
389,26/03/2004,1.1,4.1,74.0
390,27/03/2004,1.5,5.2,87.0
391,27/03/2004,1.0,3.2,79.0
392,27/03/2004,1.2,4.5,78.0
393,27/03/2004,1.1,3.8,
394,27/03/2004,,3.8,63.0
395,27/03/2004,0.8,1.9,48.0
396,27/03/2004,0.9,2.4,59.0
397,27/03/2004,1.1,3.3,65.0
398,27/03/2004,1.5,6.7,71.0
399,27/03/2004,1.8,8.5,84.0
400,27/03/2004,2.1,9.7,93.0
401,27/03/2004,2.1,9.4,99.0
402,27/03/2004,1.9,9.0,93.0
403,27/03/2004,2.1,10.0,96.0
404,27/03/2004,2.5,12.6,114.0
405,27/03/2004,1.9,7.6,101.0
406,27/03/2004,2.2,11.8,108.0
407,27/03/2004,2.3,11.2,117.0
408,27/03/2004,2.7,12.4,125.0
409,27/03/2004,3.0,12.9,133.0
410,27/03/2004,2.8,12.2,119.0
411,27/03/2004,2.2,8.8,107.0
412,27/03/2004,1.6,6.8,96.0
413,27/03/2004,2.1,8.6,105.0
414,28/03/2004,2.3,8.9,102.0
415,28/03/2004,2.3,8.3,97.0
416,28/03/2004,1.7,6.3,79.0
417,28/03/2004,2.2,8.3,
418,28/03/2004,1.3,5.1,69.0
419,28/03/2004,0.8,2.6,52.0
420,28/03/2004,1.1,3.6,62.0
421,28/03/2004,1.4,3.6,69.0
422,28/03/2004,1.3,4.7,75.0
423,28/03/2004,1.9,7.5,83.0
424,28/03/2004,2.3,9.0,94.0
425,28/03/2004,2.3,9.5,96.0
426,28/03/2004,1.8,7.7,86.0
